Function Name,Source File,Line,Samples,Hit Count
"(root)","",0,0,0
"(program)","",0,0,91
"(idle)","",0,0,7735
"","",0,0,15
"evaluate","",0,0,1
"querySelectorAll","",0,0,0
"_queryEngineAll","",0,0,0
"queryAll","",0,0,0
"query","",0,0,0
"_cached","",0,0,0
"_queryEngine","",0,0,0
"_callQuery","",0,0,0
"fill","",0,0,0
"selectText","",0,0,0
"select","",0,0,3
"nrWrapper","https://assets-e2e.observe.ai/prod-4.0.0.1705/newRelic-v1.js",0,0,10
"r","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7742.33112bd3.js",0,0,2
"tH","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"Q","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"ln","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"lr","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"le","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"t.unstable_runWithPriority","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"aI","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"aW","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"aQ","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"c","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"iA","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"l4","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,1
"rh","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/4836.a1b0f96e.js",0,0,0
"t.Z","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/4836.a1b0f96e.js",0,0,5
"iF","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"tj","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"tK","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"q","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"B","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"tc","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,1
"$","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"H","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"g","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/4836.a1b0f96e.js",0,0,1
"eS","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/4836.a1b0f96e.js",0,0,2
"eb","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/4836.a1b0f96e.js",0,0,5
"eg","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/4836.a1b0f96e.js",0,0,0
"ep","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/4836.a1b0f96e.js",0,0,0
"t.useLayoutEffect","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/1512.6f18a1ed.js",0,0,0
"iu","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"ii","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,2
"es","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/5378.ab068b3c.js",0,0,0
"C","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/1512.6f18a1ed.js",0,0,4
"ry","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/4836.a1b0f96e.js",0,0,0
"e","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/4836.a1b0f96e.js",0,0,1
"forEach","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/1512.6f18a1ed.js",0,0,1
"extractEvents","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"nP","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"n_","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,1
"ih","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,3
"en","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/4836.a1b0f96e.js",0,0,0
"et","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/4836.a1b0f96e.js",0,0,0
"iv","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
"aP","https://assets-e2e.observe.ai/prod-4.0.0.1705/static/js/async/7987.7e86d784.js",0,0,0
